timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478106834.57,-1.570793,0.852007,-0.709843,5.036070,-2.734111,-4.269711,-0.658474,-0.752603,-0.000002,1.792965,-3.622336,0.155733,-38.238403,-8.136141,-12.481979,,,,,,
1478106834.59,-1.661114,0.910171,-0.669516,-2.855445,-0.751112,0.787828,-0.611109,-0.789609,0.055345,1.782450,-3.973712,0.696273,-37.792465,-11.043207,-11.573649,,,,,,
1478106834.61,-1.548034,0.773452,-0.803285,-3.364500,0.086179,8.277843,-0.715318,-0.698609,-0.016285,1.369600,-0.840942,-1.412960,-38.283348,-10.907000,-9.979722,,,,,,
1478106834.63,-1.463441,0.597758,-0.800506,0.996451,6.075953,9.880981,-0.821841,-0.562790,-0.088570,0.720599,-1.079406,-1.460365,-38.283348,-10.907000,-9.979722,,,,,,
1478106834.65,-1.366747,0.409575,-0.707541,3.284459,6.973663,8.863360,-0.898260,-0.398220,-0.185876,2.249640,-4.796406,0.959329,-38.636616,-0.388390,-13.828703,,,,,,
1478106834.67,-1.293219,0.258387,-0.698445,-4.888863,1.935080,6.787074,-0.929796,-0.255522,-0.264930,2.298296,-5.417971,2.374992,-34.040279,8.635905,-21.233292,,,,,,
1478106834.69,-1.285022,0.123550,-0.763954,-4.620599,-1.406158,5.058433,-0.952130,-0.123236,-0.279752,2.616696,-4.136423,0.440244,-34.040279,8.635905,-21.233292,,,,,,
1478106834.71,-1.324643,-0.006011,-0.805105,-2.904276,-2.030831,6.586065,-0.969839,0.006011,-0.243671,3.893835,-2.551635,0.716632,-31.245977,17.509140,-20.032251,,,,,,
1478106834.73,-1.345561,-0.157636,-0.789590,0.105432,-0.607371,7.549599,-0.962656,0.156984,-0.220567,3.221063,-1.604341,0.919984,-28.240862,24.841532,-16.417191,,,,,,
1478106834.75,-1.323359,-0.286398,-0.739430,0.907821,1.270295,6.242986,-0.930051,0.282499,-0.234944,1.856000,-0.951399,1.453786,-28.240862,24.841532,-16.417191,,,,,,
1478106834.77,-1.291301,-0.363661,-0.710313,0.211849,1.044598,2.335465,-0.898333,0.355698,-0.257829,0.829577,1.401031,-0.220748,-22.304628,30.006271,-16.920385,,,,,,
1478106834.79,-1.282071,-0.306222,-0.698555,1.694684,-1.148403,-6.150516,-0.914013,0.301459,-0.271484,0.165172,3.829843,-0.809433,-19.312378,31.361050,-18.102179,,,,,,
1478106834.81,-1.369224,-0.091162,-0.718892,1.945305,-4.076903,-12.099667,-0.975685,0.091035,-0.199379,0.226844,4.040267,-0.881539,-19.312378,31.361050,-18.102179,,,,,,
1478106834.83,-1.415750,0.167446,-0.709091,3.034889,-1.843976,-13.128650,-0.974186,-0.166664,-0.152266,2.117970,0.487755,0.266890,-28.213108,24.208668,-17.381977,,,,,,
1478106834.85,-1.471057,0.463896,-0.681804,3.053949,-2.255648,-15.173477,-0.889872,-0.447436,-0.089051,2.230448,-0.830122,0.797303,-36.192459,9.853286,-16.649044,,,,,,
1478106834.87,-1.510156,0.763327,-0.650408,2.051164,-0.421578,-14.214741,-0.721212,-0.691329,-0.043788,2.144338,-1.217942,0.696117,-36.192459,9.853286,-16.649044,,,,,,
,,,,,,,,,,,,,,,,37.352976,-122.034795,43.160034,-1.000000,-1.000000,1478106834.66
1478106834.89,-1.548745,1.016754,-0.618317,1.358369,-1.106433,-11.823997,-0.526001,-0.850405,-0.011601,0.698563,-0.129026,-0.419918,-35.093353,-15.547838,-14.522178,,,,,,
1478106834.91,-1.649145,1.235822,-0.545438,1.241010,-1.811872,-10.552127,-0.327736,-0.944419,0.025730,-0.444404,0.070151,-0.408085,-35.093353,-15.547838,-14.522178,,,,,,
1478106834.93,-1.923817,1.417396,-0.313159,0.534819,-2.871327,-8.510994,-0.143377,-0.988257,0.052828,-1.200221,-0.266595,-0.289766,-28.726889,-26.674503,-12.141202,,,,,,
1478106834.95,-3.124744,1.513356,0.822437,-0.347955,-3.338336,-6.050205,-0.000967,-0.998351,0.057401,-2.568018,-1.754945,0.281756,-22.305244,-33.113041,-9.496045,,,,,,
1478106834.97,2.088410,1.498511,1.828726,-1.383270,-3.434422,-0.985428,0.062761,-0.997389,0.035736,-6.910554,-3.419497,0.376144,-22.305244,-33.113041,-9.496045,,,,,,
1478106834.99,1.643298,1.465331,2.243842,-0.796773,-0.204707,-2.535031,0.104993,-0.994444,0.007626,-7.740461,-0.800585,0.290470,-22.305244,-33.113041,-9.496045,,,,,,
1478106835.01,1.579937,1.465808,2.326315,-0.514893,0.820131,1.199343,0.104791,-0.994494,0.000958,-3.491281,-0.032438,0.099521,-18.410395,-35.482803,-9.284398,,,,,,
1478106835.03,1.281289,1.511976,2.623289,-0.724515,-0.851340,3.986005,0.056340,-0.998271,-0.016782,-2.765385,-0.331106,-0.235659,-18.410395,-35.482803,-9.284398,,,,,,
1478106835.05,-1.470613,1.349116,-0.901855,-0.731786,4.293489,14.319729,-0.218767,-0.975529,-0.021990,-6.711302,-4.997631,0.808520,-21.681711,-33.389778,-9.959823,,,,,,
1478106835.07,-1.320555,1.249478,-1.038912,-2.464697,0.435906,3.746723,-0.305981,-0.948820,-0.078208,-0.082691,2.388929,-1.847359,-30.565044,-24.713486,-11.798051,,,,,,
1478106835.09,-1.344181,1.117806,-1.011196,-1.637915,-0.604185,6.107009,-0.426466,-0.899143,-0.098333,-1.332964,-1.561886,0.297414,-30.565044,-24.713486,-11.798051,,,,,,
1478106835.11,-1.367595,1.019650,-1.023277,-0.409660,-1.091683,4.229439,-0.512890,-0.851925,-0.105678,-1.246540,-1.609104,0.304760,-34.417156,-18.454370,-12.612206,,,,,,
1478106835.13,-1.403908,0.936446,-1.004775,-0.439566,-1.367785,4.279400,-0.584420,-0.805457,-0.098449,0.317559,-0.226983,-0.657075,-36.985466,-13.559875,-11.505543,,,,,,
1478106835.15,-1.460386,0.851138,-0.979728,0.487923,-1.889140,3.946319,-0.655114,-0.752031,-0.072627,-1.083534,-1.125441,-0.092061,-36.985466,-13.559875,-11.505543,,,,,,
1478106835.17,-1.512725,0.787485,-0.934038,1.731969,-0.181724,2.970754,-0.704440,-0.708581,-0.040954,-1.352674,-2.171592,0.638961,-38.949890,-8.809583,-9.458838,,,,,,
1478106835.19,-1.545008,0.738209,-0.859276,3.051178,1.148198,2.038916,-0.739429,-0.672964,-0.019073,-0.715756,-3.592692,0.395202,-39.570595,-5.842850,-9.176128,,,,,,
,,,,,,,,,,,,,,,,37.353099,-122.034822,41.559814,1.100000,-1.000000,1478106834.40
1478106835.21,-1.575059,0.766617,-0.763140,4.416944,2.702830,-4.027594,-0.720255,-0.693702,0.003070,2.527979,-4.542412,0.587277,-39.570595,-5.842850,-9.176128,,,,,,
1478106835.23,-1.614068,0.852528,-0.671907,0.751150,-0.654963,-1.132319,-0.657466,-0.752946,0.028467,2.465190,-4.483168,0.561880,-38.629490,-8.733202,-10.754812,,,,,,
1478106835.25,-1.544106,0.744156,-0.750186,-3.094296,0.672269,6.566145,-0.735398,-0.677351,-0.019632,1.663468,-2.613894,-0.123846,-38.565544,-8.030317,-11.505867,,,,,,
,,,,,,,,,,,,,,,,37.353105,-122.034823,41.592743,1.100000,-1.000000,1478106835.00
